X	Y
16.75156509097538	12.846965959363514
32.093276996471666	35.40776537119908
33.4264339220537	32.30465078553214
36.012622575118996	75.43665473943199
38.59608008414082	33.05192606015845
45.55391760932758	37.61948746210011
47.527089545635654	66.61972185728648
48.031155304057094	75.27150350768518
52.491146256627616	42.706098954944096
55.805214021433414	42.750680482109445
59.338602177123775	48.204345078131745
62.178725257546525	47.24336707650596
62.77135697756209	78.67982572529696
66.88224783135033	47.50090588895529
67.64004526011716	79.48893636086534
69.75738159213783	49.86009083660623
71.68714421910103	28.783372227565145
72.20398038792626	29.785264276333233
73.44395779785124	62.62880498210729
78.14594023819694	51.54316443546801
80.71278326483997	59.577306397092016
