X	Y
10.338253610627989	7.237451579897214
16.84183910074648	28.98735010471532
18.397897838624843	18.390885653228594
21.011813509894345	11.41654961533288
32.94826015196147	39.97552255626531
34.80313676373699	35.961512378254746
39.88641973387775	72.32756389261185
44.14394725923527	35.953775572681565
47.52873621831486	61.95940587094345
48.62228077660465	73.63129086996436
49.88453807894274	68.33299706846977
51.945596372563394	44.0575438113365
55.40380391263881	41.95057830647863
61.12184461960996	46.929048851071585
63.15037693952049	79.1863417468124
66.23772681637053	77.24431418771226
67.65270921831674	48.23241735848737
71.381977085429	55.61646716191947
72.4586883256678	27.84055192640495
80.32587680300252	44.19035857072495
81.52392119637214	60.79647779862097
