X	Y
10.338253610627989	7.237451579897214
16.84183910074648	28.98735010471532
18.397897838624843	18.390885653228594
21.011813509894345	11.41654961533288
32.94826015196147	39.97552255626531
34.80313676373699	35.961512378254746
39.88641973387775	72.32756389261185
44.14394725923527	35.953775572681565
47.52873621831486	61.95940587094345
48.62228077660465	73.63129086996436
49.88453807894274	68.33299706846977
51.945596372563394	44.0575438113365
55.40380391263881	41.95057830647863
61.12184461960996	46.929048851071585
63.15037693952049	79.1863417468124
66.23772681637053	77.24431418771226
67.65270921831674	48.23241735848737
71.381977085429	55.61646716191947
72.4586883256678	27.84055192640495
80.32587680300252	44.19035857072495
81.52392119637214	60.79647779862097
1.0	85.0
3.0	94.0
6.0	61.0
7.0	25.0
9.0	37.0
10.0	48.0
11.0	93.0
12.0	94.0
12.0	95.0
15.0	90.0
18.0	68.0
20.0	103.0
20.0	103.0
22.0	68.0
23.0	51.0
24.0	96.0
26.0	3.0
28.0	81.0
39.0	3.0
40.0	104.0
50.0	8.0
59.0	23.0
70.0	8.0
70.0	17.0
73.0	21.0
74.0	17.0
75.0	17.0
76.0	19.0
78.0	3.0
82.0	9.0
85.0	30.0
90.0	44.0
92.0	37.0
92.0	100.0
93.0	81.0
97.0	28.0
97.0	66.0
97.0	66.0
98.0	33.0
99.0	33.0
99.0	58.0
99.0	69.0
102.0	104.0
102.0	107.0
104.0	10.0
106.0	9.0
